cat1,cat2,cat3,contentsid,contenttype,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,sigungucode,tel,title,address,summary,accomcount,chkbabycarriage,chkcreditcard,chkpet,expguide,heritage1,heritage2,heritage3,infocenter,parking,restdate,usetime,like_count,review_count,tag
자연,자연 관광지,수목원,125445.0,12.0,http://tong.visitkorea.or.kr/cms/resource/20/3027020_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/3027020_image3_1.jpg,Type3,126.2551754,33.32540095,제주시,,생각하는 정원,제주특별자치도 제주시 한경면 녹차분재로 675 (한경면),"생각하는 정원은 1968년부터 농부 성범영이 제주시 한경면 저지리의 황무지를 개척하여 집념으로 완성한 창조적인 정원으로 36,000m²의 대지에 8개의 소정원으로 구성되어 있으며 [세계에서 가장 아름다운 정원]이라는 수식어와 함께 창조와 예술, 철학이 융합된 정원으로 국제적 탐구의 대상이 되고 있다.
유구한 세월을 간직한 한국 고유의 정원수와 분재 그리고 괴석과 수석이 잔디광장과 오름의 여백을 따라 전시되어 있으며, 돌 하나하나마다 손으로 직접 다듬어 쌓아 올린 거대한 화산석 돌담과 돌문, 그리고 곳곳에 쏟아져 내리는 폭포와 연못은 자연석 석조건물과 조화를 이루어 독창적인 한국정원의 모습을 갖고 있어 제주의 자연과 멋을 가장 잘 보여주고 있다.
황량한 불모지에 꽃피운 한 농부의 혼불이라는 점에서 세계 언론의 주목을 받고 있으며, 실제 세계명사들이 가장 많이 다녀간 명소이다. 중국 장쩌민 국가주석의 방문과 후진타오 주석, 북한 김용순 노동당 비서, 일본 나까소네 총리대신 등 외교사절과 국내외명사들의 방문은 일일이 열거할 수도 없을 정도이다.
주제가 다른 8개의 정원을 관람하는데 그치지 않고 색다르고 다양한 체험프로그램도 예약을 통해 참여해 볼 수 있다.
*정원안내
환영의 정원 / 영혼의 정원 / 영감의 정원 / 철학자의 정원 / 향나무 정원 / 감귤 정원 / 평화의정원 / 비밀의 정원",,불가,가능,불가,"[체험프로그램]<br>
- 블랙통곡물 음료만들기 체험 : 25,000원~30,000원<br>
- 맷돌커피체험 (세계 3대 커피) : 25,000원~35,000원<br>
- 싱잉볼 사운드 가든 : 40,000원~70,000원<br>
- 한국 파란나무 만들기 :35,000원~40,000원<br>
- 나무와 함께하는 힐링프로그램 : 50,000원",N,N,N,064-772-3701,있음,연중무휴,"09:00~18:00<br>
제주로컬푸드레스토랑 10:30~17:00",0.0,1551.0,"['자연', '자연속휴식', '힐링', '체험', '산책', '귤']"
자연,자연 관광지,산,126434.0,12.0,http://tong.visitkorea.or.kr/cms/resource/50/2612550_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2612550_image3_1.jpg,Type3,126.1634201,33.29478901,제주시,,수월봉,제주특별자치도 제주시 한경면 고산리 3760 ,"제주의 가장 서쪽 끝머리에 있는 한경면 고산리에 가면 제주에서 가장 넓은 들이 있다. 이 들판 끝  해안가에 솟아있는 조그마한 봉우리가 수월봉이다. 수월봉은  해안에 돌출해 있는 높이 약 77m의 봉우리로 절벽이 예리하고 운치가 있으며 곳곳에서 솟는 용천수는 약수로 유명하다.<br />수월봉 정상에는 기우제를 지내던 육각정인 수월정이 있다. 수월봉 아래 해안을 끼고 이어지는 절벽은 화석층이 뚜렷하여 자연의 신기함을 더하는 곳이다. 수월봉에서는 제주에서 가장 아름답다는 섬인 차귀도가 내려다 보이고, 더욱이  수월봉 정상에 있는 수월정에 앉아서 바라보는 낙조는 제주 어느 곳에서 보는 것보다 아름답다.",,불가,불가,불가,"A코스 : 엉알길 3.3km (약1시간 30분), B코스 : 당산봉 4.2km (약2시간), C코스 : 차귀도 1.5km (약1시간)",N,N,N,제주관광정보센터 064-740-6000,있음,연중개방,,0.0,166.0,"['자연', '바다', '산책', '일몰', '해안도로']"
자연,자연 관광지,산,126435.0,12.0,,,,126.9415156,33.45811112,서귀포시,,성산일출봉 [유네스코 세계자연유산],제주특별자치도 서귀포시 성산읍 일출로 284-12 ,"해발 180m인 성산 일출봉은 약 5,000년 전 제주도 수많은 분화구 중에서는 드물게 바닷속에서 수중폭발한 화산체이다. 용암이 물에 섞일 때 일어나는 폭발로 용암은 고운 화산재로 부서져 분화구 둘레에 원뿔형으로 쌓여 있다. 원래는 화산섬이었지만 신양해수욕장 쪽 땅과 섬 사이에 모래와 자갈이 쌓여 육지와 연결이 된 것이다. 일출봉 정상에는 지름 600m, 바닥면의 높이 해발 90m에 면적이 214,400㎡나 되는 분화구가 자리한다. 예로부터 이곳 성산일출봉 정상에서 바라보는 일출 광경은 영주 10경(제주의 경승지) 중에서 으뜸이라 하였다. 넘실대는 푸른 바다 저편 수평선에서 이글거리며 솟아오르는 일출은 온 바다를 물들이고 보는 이의 마음까지도 붙잡아 놓으며 보는 이로 하여금 저절로 감탄케 한다.",,불가,불가,불가,,N,N,N,성산일출봉관리사무소 064-710-7923,있음,매달 첫째주 월요일,"- 하절기(3~10월) 07:30~19:00<br>
- 동절기(11~2월) 07:00~17:50",0.0,1546.0,"['성산일출봉', '자연', '바다', '일몰', '역사', '산책']"
자연,자연 관광지,산,126436.0,12.0,http://tong.visitkorea.or.kr/cms/resource/04/3077604_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/3077604_image3_1.jpg,Type3,126.6203951,33.3848946,제주시,"064-713-9950~3, 725-9950",한라산 성판악,제주특별자치도 제주시 조천읍 516로 1865 ,"성판악은 한라산 국립공원의 성판악 등산로 주변에 위치하는 오름으로 한라산 동쪽 산록에서 가장 규모가 큰 단성화산이다. 단성화산은 일회의 분화 활동을 통해 형성되는 소형 화산체로서 제주에서는 오름으로 불린다. 성판악이라는 명칭은 산 중턱에 암벽이 널 모양으로 둘려 있는 것이 성벽처럼 보여 성널오름 또는 한자어로 성판악이라고 하게 됐다. 성판악은 전체가 삼림으로 덮여있으며 주변으로 성널계곡 등 크고 깊은 계곡이 발달해 있다.
제주시와 서귀포시를 잇는 5·16 도로의 중간 지점 가장 높은 곳에 성판악 휴게소가 있는데, 이곳은 한라산으로 오르는 등산로 중이 하나로 성판악이 시작되는 곳이다. 한라산 동쪽 코스인 성판악탐방로는 관음사탐방로와 더불어 한라산 정상인 백록담을 오를 수 있는 탐방로이며 한라산탐방로 중 가장 긴 9.6km의 코스이다. 정상까지 대체로 완만한 경사를 이루지만 편도 4시간 30분, 왕복 9시간 정도 소요되기 때문에 체력 안배에 신경을 써야 한다. 2020년 2월 1일부터 성판악탐방로는 한라산탐방로 예약시스템에서 사전예약을 해야 탐방이 가능하다.",,불가,불가,불가,,N,N,N,"성판악지소 064-725-9950<br>
한라산국립공원관리소  064-713-9950~1",있음(소형 70대 / 대형 20대),연중무휴,"[12월~2월] 06:00~12:00<br>
[3월~4월, 9월~10월] 05:30~12:30<br>
[5월~8월] 05:00~13:00",0.0,938.0,"['등산', '자연', '산', '한라산', '오름']"
자연,자연 관광지,폭포,126437.0,12.0,http://tong.visitkorea.or.kr/cms/resource/78/2665278_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2665278_image3_1.jpg,Type3,126.5716053,33.24503982,서귀포시,,정방폭포,제주특별자치도 서귀포시 칠십리로214번길 37 ,"천지연, 천제연과 더불어 제주도 내 3대 폭포 중의 하나인 정방폭포는 서귀포시 중심가에서 약 1.5㎞ 동남쪽에 위치해 있다.
바다로 직접 떨어지는 동양 유일의 해안폭포로서 높이 23m, 폭 8m, 깊이 5m에 이른다. 웅장한 폭포음과 쏟아지는 물줄기에 햇빛이 반사되면, 일곱 색깔의 무지개가 푸른 바다와 함께 어우러져 신비의 황홀경을 연출한다. 예로부터 이곳을 정방하폭(正房夏瀑)이라 하여 영주 십 경의 하나로 삼았다. 중국 진나라 시황제가 ‘서불(徐 )’에게 동양의 삼신산의 하나인 한라산에 가서 불로초를 캐어 오도록 하였으나 불로초를 찾지 못하고 정방폭포의 절벽에 ‘서불과지(徐市過之)’라는 글을 새기고 서쪽으로 돌아갔다는 이야기가 있다. 해변을 끼고 높이 솟은 절벽에는 노송이 바다로 나뭇가지를 드리워 넘어질 듯 서 있으며 각종 수목이 울창하다.",,불가,가능,불가,,N,N,N,064-733-1530,있음,연중무휴,"09:00~17:20<br>
※ 일출·일몰시간에 따라 변경될 수 있음",0.0,11348.0,"['바다', '자연', '역사']"
자연,자연 관광지,폭포,126438.0,12.0,http://tong.visitkorea.or.kr/cms/resource/97/3011797_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/3011797_image3_1.jpg,Type1,126.559473,33.24453413,서귀포시,,천지연폭포 (제주도 국가지질공원),제주특별자치도 서귀포시 천지동 667-7,"이름만큼이나 빼어난 서귀포 천지연폭포는 조면질 안산암의 기암절벽이 하늘높이 치솟아 마치 신선의 세계로 들어온 것 같은 황홀경을 느끼게 한다. 높이가 약 22m, 폭 12m이며, 폭포아래는 수심이 20m에 이르는 깊은 웅덩이가 있다.
천지연폭포의 하부에는 화산물질과 해양 퇴적물로 구성된 서귀포층이 분포하고, 그 상부에는 약 40만 년 전 분출된 용암이 서귀포층을 덮고 있다. 서귀포층에는 주로 회색 또는 회갈색을 띠는 사암류 및 점토로 구성되어 있고, 조기패류와 동물화석들이 섞여 있다. 40만 년 이후 서귀포 주변 해안선을 따라 대규모 단층운동이 발생하여 계단형 지형들이 형성되었고, 이후 하천이 발달하면서 여러 개의 폭포들이 만들어졌다. 용암아래 놓인 서귀포층은 계속되는 폭포수의 침식작용에 의해 깎이면서 점점 아래로 깊어져 20m에 이르는 깊은 웅덩이가 만들어졌다. 원래 폭포는 지금보다 바다에 더 가까웠으나, 오랜 시간에 걸친 침식작용으로 점점 계곡의 상류 쪽으로 이동되었던 것으로 추정된다.

천지연 계곡에는 천연기념물로 지정된 담팔수 자생지 이외에도 가시딸기, 송엽란 등의 희귀 식물과 함께 계곡 양쪽에 구실잣밤나무, 산유자나무, 동백나무 등의 난대성 식물들이 울창한 숲을 이루고 있어 천연기념물로 지정 보호되고 있다. 특히 담팔수나무는 담팔수과의 상록교목으로 우리나라에서는 안덕계곡, 천제연, 효돈천 등 제주도 남쪽해안이 섶섬, 문섬 등이 그 북한지이다. 이 천지연 난대림지대를 따라 나 있는 산책로를 1㎞쯤 걸어 들어가면 웅장한 소리를 내며 떨어지는 폭포와 만나게 된다. 
또, 천연기념물인 무태장어는 뱀장어과에 속하는 열대성 대형 물고기인데, 천지연에서 가끔 발견되고 있다. 주로 아프리카 동부에서 남태평양, 동남아시아, 일본, 대만 등에 걸쳐 널리 분포하며, 우리나라에는 섬진강, 거제도, 영덕오십천 등의 하천에서 매우 드물게 발견되고 있다. 매우 희귀종에 속하는 물고기이므로 분포지역에 관계없이 무태장어 종 자체를 천연기념물로 지정하여 보호하고 있다. 

서귀포항 어귀에서 길게 뻗은 오솔길에는 꽃치자, 왕벚나무, 철쭉 등의 아름다운 꽃나무와 더불어 정취 어린 돌징검다리, 숲사이 군데군데 마련된 쉼터가 최상의 데이트 코스를 연출해 주어 연인들 사이에 무척 인기가 높다. 야간조명시설이 되어있어 11~4월에는 밤 10시까지 5~10월까지는 밤 11시까지 야간관광이나 데이트를 즐길 수 있는 코스로 최적지이다. 매년 서귀포칠십리축제가 이곳을 중심으로 화려하게 펼쳐지기도 한다.",,불가,불가,불가,,N,N,N,관리사무소 064-733-1528,"있음(소형 100대, 대형 30대)",,09:00~22:00(입장마감 21:20),0.0,595.0,"['자연', '계곡', '바다', '산책', '역사', '축제']"
자연,자연 관광지,폭포,126439.0,12.0,http://tong.visitkorea.or.kr/cms/resource/08/2650708_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2650708_image3_1.jpg,Type3,126.4184295,33.252656,서귀포시,,천제연폭포,제주특별자치도 서귀포시 천제연로 132 (중문동),"천제연폭포는 옥황상제를 모시는 칠선녀가 별빛 속삭이는 한밤중이면 영롱한 자줏빛 구름다리를 타고 옥피리 불며 내려와 맑은 물에 미역 감고 노닐다 올라간다고 하여 천제연(天帝淵) 곧 하느님의 못이라고 부르게 되었다는 유래가 있다. 울창한 난대림지대 사이로 3단 폭포가 떨어지는 모습은 실로 장관인데 제1폭포에서 떨어져 수심 21m의 못을 이루고, 이 물은 다시 제2폭포, 제3폭포를 거쳐 바다로 흘러 들어간다. 특히 제1폭포가 떨어지는 절벽 동쪽의 암석동굴 천장에서는 이가 시리도록 차가운 물이 쏟아져 내리는데 예로부터 백중, 처서에 이 물을 맞으면 모든 병이 사라진다고 하여 많은  사람들이 찾았으나 지금은 수영이 금지돼 있다. 천제연계곡에는 아름다운 일곱 선녀상을 조각한 ‘선임교’라는 아치형 다리와 ‘천제루’라고 불리는 누각이 세워져 있어 주변경관을 한층 더 돋보이게 한다.

천제연 주변의 난대림 안에는 제주도에서도 가장 희귀한 식물의 일종인 솔잎난이 자생하며 담팔수, 구실잣밤나무, 조록 나무, 참식나무, 가시나무류, 빗죽이나무, 감탕나무 등의 상록수와 푸조나무, 팽나무 등이 혼효림을 이루고 있다. 덩굴식물로는 바람등칡, 마삭풀, 남오미자, 왕모람 등이 많이 자라고 관목류로는 자금우돈나무 백량금, 양치식물로는 석위, 세뿔석위, 일엽, 바위손 등이 울창하게  어우러져 잘 보존되고 있다. 제1폭포 서쪽 암벽에 있는 담팔수는 식물 지리학적 측면에서 학술가치가 높아 지방 기념물로 별도 지정돼 있는데, 한라산 천연보호구역의 하나로 지정 보호되고 있는  천제연계곡에는 20여 그루의 담팔수가 자생하고 있다.",,불가,불가,불가,,N,N,N,064-760-6331,있음,,09:00~17:20,0.0,5685.0,"['자연', '계곡', '산책', '힐링', '자연속휴식', '한라산']"
자연,자연 관광지,계곡,126440.0,12.0,http://tong.visitkorea.or.kr/cms/resource/10/3023810_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/3023810_image3_1.jpg,Type1,126.3529934,33.25844044,서귀포시,,안덕계곡,제주특별자치도 서귀포시 안덕면 일주서로 1524 ,"안덕계곡은 서귀포 안덕면의 감산리 마을을 지나 바다로 유입되는 창고천 하류에 형성된 계곡이다. 표고 914m의 한대오름 주위를 발원지로 한다. 안덕계곡의 ‘안덕(安德)’은 치안치덕(治安治德)의 줄임말로, 태초에 안개가 끼고 하늘과 땅이 진동하며 태산이 솟아날 때 암벽 사이에 물이 흘러 치안치덕한 곳이라 하여 유래된 말이다.
제주도 특유의 계곡미를 보이는 골짜기가 깊게 침식된 유년기곡으로, 용암 동굴 천장이 붕괴하여 형성된 계곡이라는 설도 있다. 안덕계곡은 전체 길이의 절반이 5~10m 깊이의 수직 단애를 이루며, 하천 하류에는 깊이가 40~50m에 달하는 협곡에 조면암류 주상 절리와 판상 절리군이 발달되어 있다. 병풍처럼 둘러쳐진 기암절벽과 평평한 암반 바닥에서 유유히 흐르는 맑은 물이 멋스러운 운치를 자아낸다.
계곡의 양쪽에는 구실잣밤나무·참식나무·후박나무·감탕나무·조록나무·종가시나무 등 난대 수목의 고목이 울창하게 덮여 있으며, 남오미자·바람등칡·백량금 등이 하층 식물을 형성하고 있다. 이곳에는 300여 종의 식물이 분포하는데, 특히 양치식물이 많은 것이 특징이다. 이 계곡에 자생하고 있는 희귀 식물과 난대림의 원식생이 가치를 인정받아 천연기념물로 지정됐다.
제주10경 중 하나로 제주 올레 9코스와 추사 유배길 3코스에 포함된 관광지이다. 주변 10km 이내에 천제연폭포, 중문관광단지, 산방굴사, 제주조각공원 등이 있다.",,불가,불가,불가,,N,N,N,"064-710-6653 (제주도청세계유산본부:상록수림담당)<br>
064-732-1330 (서귀포시종합관광안내소)",있음,연중무휴,상시,0.0,1322.0,"['계곡', '자연', '자연속휴식', '힐링', '산책', '체험', '휴양림', '산', '오름', '올레길']"
자연,자연 관광지,계곡,126441.0,12.0,,,,126.582017,33.30052553,서귀포시,,돈내코(원앙폭포),제주특별자치도 서귀포시 돈내코로 137 ,"돈내코는 제주특별자치도 서귀포시에 위치한 계곡으로 에메랄드빛 강물과 난대 상록수림이 울창한 모습을 볼 수 있고 높이 5m의 원앙폭포와 작은 못이 있어 그 경치가 매우 수려하다. 돈내코 입구에서 산책로를 따라 20분 정도 걸어 들어가면 만날 수 있는 원앙폭포는 두 개의 물줄기가 떨어지는데, 금슬 좋은 원앙 한 쌍이 살았다 하여 원앙폭포라는 이름이 붙여졌다. 한라산에서 내려오는 얼음같이 차고 맑은 물이 흐르고, 물맞이를 비롯한 피서지로 유명한 곳이다. 백중날 (음력 7월 보름)에는 물을 맞으면 모든 신경통이 사라진다는 얘기가 있어 사람들이 가장 많이 붐빈다. 돈내코 유원지 입구에서 계곡까지 약 700m 정도에 달하는 숲길은 상록수림이 빽빽이 들어서 있고 중간에 나무 벤치가 있어 산림욕을 하기에 좋다. 계곡 입구 건너편 300m 떨어진 도로변에 야영장과 주차장, 취사장, 체력단련 시설이 잘 갖추어져 있고 인근에 향토 음식점이 있어 토종닭 등 제주 특유의 별미를 맛볼 수 있다.",,불가,불가,불가,,N,N,N,064-710-6920,"있음(소형 100대, 대형 20대)",,,0.0,1150.0,"['자연', '계곡', '산책', '캠핑', '맛집']"
자연,자연 관광지,해수욕장,126443.0,12.0,http://tong.visitkorea.or.kr/cms/resource/52/3023852_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/3023852_image3_1.jpg,Type3,126.3335149,33.24070043,서귀포시,,화순금모래해변,제주특별자치도 서귀포시 안덕면 화순해안로 91,"화순금모래 해변은 99,174m²(약 3만 평)의 검은 모래밭이 펼쳐진 곳으로 주변에 천혜의 자연조건을 가지고 있다. 해수욕장 옆으로는 소금막 해변 백사장이 넓게 펼쳐져 있고, 뒤로는 산방산이 서있으며, 앞으로는 가파도, 마라도, 형제섬 등이 한눈에 펼져쳐 있어 동양의 산수화를 연상케 하는 해변이다. 해수욕장의 모래는 검은 빛으로 부드럽고 고운편이며 여름이면 바로 옆에 야외수영장이 설치되어 해수욕과 담수욕을 동시에 즐길 수 있다. 야외수영장은 일년 내내 낮은 온도를 유지하는 용천수를 사용해 물이 무척 시원하며 슬라이딩 미끄럼틀 등의 기구를 설치해 아이들과 함께 물놀이 할 수 있다.  안덕면 소재지인 화순리에 있어서 교통, 숙박, 매점, 음식점 등의 편의 시설이 풍부하다는 점도 빼놓을 수 없다.",,불가,불가,불가,,N,N,N,064-760-4372 (안덕면 사무소),있음,,상시개방(해수욕장은 매년 상이),0.0,38.0,"['해수욕장', '자연', '산방산', '바다', '산책', '수상레저', '해산물', '호텔', '맛집', '쇼핑']"
